Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q06909	CARQ_MYXXA	reviewed	RNA polymerase sigma factor CarQ	carQ	Myxococcus xanthus	174
P37978	CNRH_RALME	reviewed	RNA polymerase sigma factor CnrH	cnrH Rmet_6207 RMe0086	Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)	191
P23484	FECI_ECOLI	reviewed	Probable RNA polymerase sigma factor FecI	fecI b4293 JW4253	Escherichia coli (strain K12)	173
P0AEM8	FLIA_ECO57	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	fliA Z3012 ECs2661	Escherichia coli O157:H7	239
P0AEM7	FLIA_ECOL6	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	fliA c2337	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	239
P0AEM6	FLIA_ECOLI	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28)	fliA flaD rpoF b1922 JW1907	Escherichia coli (strain K12)	239
P29248	FLIA_PSEAE	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	fliA rpoF PA1455	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	247
P0A2E9	FLIA_SALTI	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	fliA STY2164 t0920	Salmonella typhi	239
P0A2E8	FLIA_SALTY	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	fliA STM1956	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	239
P52621	FLIA_YEREN	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	fliA	Yersinia enterocolitica	230
P18182	HRDA_STRCO	reviewed	RNA polymerase principal sigma factor HrdA	hrdA SCO2465 SC7A8.04c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	396
P18184	HRDC_STRCO	reviewed	RNA polymerase principal sigma factor HrdC	hrdC SCO0895 SCM1.28c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	339
P18249	HRDD_STRCO	reviewed	RNA polymerase principal sigma factor HrdD	hrdD SCO3202 SCE22.19c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	332
Q59914	HRDD_STRGR	reviewed	RNA polymerase principal sigma factor HrdD	hrdD	Streptomyces griseus	332
Q60012	HRDD_STRVF	reviewed	RNA polymerase principal sigma factor HrdD	hrdD	Streptomyces viridifaciens	332
P37929	HRPL_PSESY	reviewed	RNA polymerase sigma factor HrpL	hrpL	Pseudomonas syringae pv. syringae	184
Q03474	LAFS_VIBPA	reviewed	RNA polymerase sigma factor for flagellar operon (Sigma-27) (Sigma-F factor)	lafS VPA1555	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	242
Q44583	NCCH_ALCXX	reviewed	RNA polymerase sigma factor NccH	nccH	Alcaligenes xylosoxydans xylosoxydans (Achromobacter xylosoxidans)	186
P46358	RFAY_XANCP	reviewed	Probable RNA polymerase sigma factor RfaY	rfaY XCC1143	Xanthomonas campestris pv. campestris (strain ATCC 33913 / NCPPB 528 / LMG 568)	400
P62182	RP28_BACAN	reviewed	RNA polymerase sigma-28 factor	sigK BA_4566 GBAA_4566 BAS4236	Bacillus anthracis	237
P62180	RP28_BACCR	reviewed	RNA polymerase sigma-28 factor	sigK BC_4336	Bacillus cereus (strain ATCC 14579 / DSM 31)	237
P62181	RP28_BACTK	reviewed	RNA polymerase sigma-28 factor	sigK	Bacillus thuringiensis subsp. kurstaki	237
P62177	RP35_BACAN	reviewed	RNA polymerase sigma-35 factor	sigE BA_4043 GBAA_4043 BAS3755	Bacillus anthracis	239
P62178	RP35_BACCR	reviewed	RNA polymerase sigma-35 factor	sigE BC_3904	Bacillus cereus (strain ATCC 14579 / DSM 31)	239
P62179	RP35_BACTK	reviewed	RNA polymerase sigma-35 factor	sigE	Bacillus thuringiensis subsp. kurstaki	239
P33983	RP54_ACIGB	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Acinetobacter genomosp. 11	482
P33984	RP54_AZOC5	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA AZC_3925	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / ORS 571)	514
P08623	RP54_AZOVI	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Azotobacter vinelandii	502
P24219	RP54_BACSU	reviewed	RNA polymerase sigma-54 factor	sigL BSU34200	Bacillus subtilis (strain 168)	436
P30332	RP54_BRAJA	reviewed	RNA polymerase sigma-54 factor 1	rpoN1 blr1883	Bradyrhizobium japonicum (strain USDA 110)	484
Q03408	RP54_CAUCR	reviewed	RNA polymerase sigma-54 factor	rpoN flbU CC_3599	Caulobacter crescentus (strain ATCC 19089 / CB15)	497
P38944	RP54_CLOK5	reviewed	Putative RNA polymerase sigma-54 factor	rpoN sigL CKL_3013	Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680)	453
P28615	RP54_CUPNH	reviewed	RNA polymerase sigma-54 factor	rpoN hno ntrA H16_A0387	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	493
P24255	RP54_ECOLI	reviewed	RNA polymerase sigma-54 factor	rpoN glnF ntrA b3202 JW3169	Escherichia coli (strain K12)	477
Q9ZLC8	RP54_HELPJ	reviewed	RNA polymerase sigma-54 factor	rpoN jhp_0652	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	414
P56143	RP54_HELPY	reviewed	RNA polymerase sigma-54 factor	rpoN HP_0714	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	414
P06223	RP54_KLEOX	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Klebsiella oxytoca	477
P49988	RP54_PSEAE	reviewed	RNA polymerase sigma-54 factor	rpoN PA4462	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	497
P0A171	RP54_PSEPK	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA PP_0952	Pseudomonas putida (strain KT2440)	497
P0A172	RP54_PSEPU	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Pseudomonas putida (Arthrobacter siderocapsulatus)	497
P49989	RP54_RHIET	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Rhizobium etli	520
P17263	RP54_RHIME	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA R00381 SMc01139	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	514
P33985	RP54_RHIML	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)	513
P22881	RP54_RHISN	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA NGR_c00170	Rhizobium sp. (strain NGR234)	519
P0CY59	RP54_RHOCA	reviewed	RNA polymerase sigma-54 factor	rpoN nifR4 ntrA	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	426
D5ANH9	RP54_RHOCB	reviewed	RNA polymerase sigma-54 factor	rpoN nifR4 ntrA RCAP_rcc00568	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	428
Q01194	RP54_RHOSH	reviewed	RNA polymerase sigma-54 factor	rpoN	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	434
P26979	RP54_SALTY	reviewed	RNA polymerase sigma-54 factor	rpoN glnF ntrA STM3320	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	477
Q9S0L2	RP54_SHEVD	reviewed	RNA polymerase sigma-54 factor	rpoN SVI_0414	Shewanella violacea (strain JCM 10179 / CIP 106290 / LMG 19151 / DSS12)	492
P24695	RP54_THIFE	reviewed	RNA polymerase sigma-54 factor	rpoN ntrA	Thiobacillus ferrooxidans (Acidithiobacillus ferrooxidans)	475
O83149	RP54_TREPA	reviewed	RNA polymerase sigma-54 factor	rpoN TP_0111	Treponema pallidum (strain Nichols)	475
O08429	RP54_VIBAN	reviewed	RNA polymerase sigma-54 factor	rpoN	Vibrio anguillarum (Listonella anguillarum)	486
P77998	RP54_XANEU	reviewed	RNA polymerase sigma-54 factor	rpoN	Xanthomonas euvesicatoria	479
P30333	RP55_BRAJA	reviewed	RNA polymerase sigma-54 factor 2	rpoN2 blr0723	Bradyrhizobium japonicum (strain USDA 110)	537
P33452	RPOD_AGRT5	reviewed	RNA polymerase sigma factor RpoD (Major vegetative sigma factor) (Sigma-70)	rpoD sigA Atu2167 AGR_C_3929	Agrobacterium tumefaciens (strain C58 / ATCC 33970)	684
P52323	RPOD_BORBU	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD BB_0712	Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM 4680)	631
P57163	RPOD_BUCAI	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD BU055	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	612
P32001	RPOD_BUCAP	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD BUsg_052	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	617
Q89B10	RPOD_BUCBP	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD bbp_052	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	609
P52324	RPOD_CAUCR	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD CC_3047	Caulobacter crescentus (strain ATCC 19089 / CB15)	652
Q83BB6	RPOD_COXBU	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD CBU_1596	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	698
P00579	RPOD_ECOLI	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	Escherichia coli (strain K12)	613
P43766	RPOD_HAEIN	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD HI_0533	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	629
Q9ZMY3	RPOD_HELPJ	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD jhp_0081	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	681
P55993	RPOD_HELPY	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD HP_0088	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	671
P61540	RPOD_LEPIC	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD LIC_11701	Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130)	585
